brewery,name,color,style,alcohol_level,ibu_level,beer_country,beer_description,tag_list,photo,photo_path
Abbaye de Leffe,Leffe Brune,Brune,Brown Ale,"6,50%",20,Belgique,Leffe Brune est une bière d'abbaye authentique. Sa couleur brun foncé et son goût légèrement sucré sont dus à l'utilisation de malt torréfié foncé qui rend chaque gorgée exceptionnelle.,"barbecue, poisson, viande, volaille, porc, gibier, plat mijoté, pizza, charcuterie, fromage persillé, passion, chocolat, tiramisu, caramel",leffe-brune.webp,leffe-brune
Brasserie Lupulus,Lupulus Brune,Brune,Belgian Strong Ale,"8,50%",20,Belgique,"La Lupulus Brune est une bière légère et onctueuse possédant un très bel équilibre et une aromatique originale.

Elle arbore une robe marron aux reflets brillants surmontée d'une mousse beige crémeuse. Au nez, elle dévoile un bouquet aromatique complexe composé de notes de malt grillé, d'agrumes, de pain grillé et de caramel. Douce et ronde, elle révèle en bouche de délicieuses saveurs de chocolat et de fruits secs. La finale de cette bière est peu amère.

Une bière originale qui vous séduira à coup sûr.","barbecue, poisson, viande, volaille, porc, gibier, plat mijoté, pizza, charcuterie, fromage persillé, passion, chocolat, tiramisu, caramel",lupulus-brune.webp,lupulus-brune
Peak Beer,Peak Brune,Brune,Double,"8,50%",22,Belgique,"Bière double d'altitude, la Peak Brune est la bière du brasseur par excellence. Pas d'épice, pas de chichi mais un mélange savant de cinq malts sélectionnés pour ouvrir vos papilles vers un équilibre entre douceur et notes torréfiées, biscuitées et caramel. Elle peut révéler ses talents lorsqu'elle est accompagnée d'un fromage affiné.","barbecue, poisson, viande, volaille, porc, gibier, plat mijoté, pizza, charcuterie, fromage persillé, passion, chocolat, tiramisu, caramel",peak-brune.webp,peak-brune
Abbaye de Westmalle,Westmalle Dubbel,Brune,Double,"10,00%",29,Belgique,"La Westmalle Dubbel, à la robe rouge-brun foncé, doit sa saveur riche et complexe à la refermentation en bouteille. On y perçoit des notes de caramel, de malt et d'esters de fruits qui font penser à la banane mûre. La bière perle joliment sous un col de mousse dense de couleur crème, qui laisse sur le verre un beau tracé en dentelle. La fin de bouche longue et sèche de cette bière trappiste équilibrée et douce enchante durablement les papilles.","barbecue, poisson, viande, volaille, porc, gibier, plat mijoté, pizza, charcuterie, fromage persillé, passion, chocolat, tiramisu, caramel",westmalle-dubbel.webp,westmalle-dubbel
Brasserie-Ferme de Bertinchamps,Bertinchamps Pamplemousse,Fruitée,Pale Ale,"5,00%",28,Belgique,"Bière rafraîchissante, aux extraits naturels de pamplemousse et touche de gingembre.
Bon équilibre entre la douceur du fruit et l'amertume du houblon.","crudité, légume, poisson, plat mijoté, gibier, fast-food, fromage frais, fromage à pâte molle, fruit",bertinchamps-pamplemousse.webp,bertinchamps-pamplemousse
Brasserie d'Achouffe,Cherry Chouffe,Fruitée,Fruit Beer,"8,00%",10,Belgique,"L’arôme de Cherry Chouffe fait la part belle aux griottes. Elle laisse également s’échapper des notes de fraise, d’amande, d’épices et de Porto doux. Pleine de rondeur, douce et délicate, la Cherry CHOUFFE ravit les plus gourmands d’entre nous. Sa fin de bouche est réconfortante avec une très légère amertume.","crudité, légume, poisson, plat mijoté, gibier, fast-food, fromage frais, fromage à pâte molle, fruit",cherry-chouffe.webp,cherry-chouffe
Brasserie Saint-Feuillien,Grisette Fruits des Bois,Fruitée,Fruit Beer,"3,50%",18,Belgique,"Cette bière est une bière légère de haute fermentation, brassée à base de malt de froment, cette bière fruitée, conçue à la Brasserie Saint Feuillien, est dotée d’un nom évocateur… Sa particularité, être brassée avec un quart de jus de fruits des bois naturel. Sa robe rouge profonde, aux reflets violets, possède un chapeau légèrement rosé. Sa bouche gourmande et crémeuse dévoile des arômes de fruits des bois, tels que les baies, les mûres et autres framboises sauvages.
Bien équilibré, cette bière est à la fruitées sans être trop sucrée. Un régal !","crudité, légume, poisson, plat mijoté, gibier, fast-food, fromage frais, fromage à pâte molle, fruit",grisette-fruits-des-bois.webp,grisette-fruits-des-bois
Brasserie Lindemans,Kriek,Fruitée,Lambic,"3,50%",18,Belgique,"Afin d’obtenir une bière à nulle autre pareille, nous ajoutons depuis des générations des griottes entières à notre lambic.

Notre rencontre avec l’importateur américain Charles Finkel, dans les années 1970, révolutionna le segment de la bière fruitée. Charles nous persuada d’exporter par bateau notre Kriek à l’ancienne vers les Etats-Unis. Ce à quoi nous n’avions pas pensé, c’est que le mouvement de la houle allait réactiver la fermentation et faire sauter les bouchons lors du voyage. Une vraie scène de Tintin. Pour éviter cela, nous avons donc mis au point une méthode de production alternative pour notre kriek. Nous utilisons un filtrat de griottes fraîches, non concentré et non-sucré. Nous mélangeons celui-ci à du lambic d'au moins un an, laissons fermenter à nouveau et macérer pendant 3 jours maximum avant de pasteuriser le tout. Ainsi, pas de bouchons qui sautent.

Du fait de l'utilisation de filtrat de fruit et de sa pasteurisation, cette kriek a un goût plus doux et fruité que celui de la Kriek à l'ancienne Cuvée René avec refermentation en bouteille. Grâce à sa saveur novatrice, elle a remporté un succès éclatant tant chez nous qu'à l'étranger. De nos jours, c’est sans doute la kriek considérée comme la référence ultime par les consommateurs.","crudité, légume, poisson, plat mijoté, gibier, fast-food, fromage frais, fromage à pâte molle, fruit",kriek.webp,kriek
Abbaye de Leffe,Leffe Ruby,Fruitée,Fruit Beer,"5,00%",10,Belgique,"Leffe Ruby est la première bière d'abbaye à être associée à des fruits rouges. Elle est légère, douce et très aromatique, avec une saveur rafraîchissante et légèrement épicée. Les notes subtiles de bois de rose en font une bière parfaitement équilibrée.","crudité, légume, poisson, plat mijoté, gibier, fast-food, fromage frais, fromage à pâte molle, fruit",leffe-ruby.webp,leffe-ruby
Peak Beer,Peak Myrtille,Fruitée,Fruit Beer,"4,50%",20,Belgique,La Peak Myrtille brassée avec le fruit des Hautes Fagnes est comme le goûter de Bonne-Maman : tout le monde l'adore. Sa légère acidité et sa couleur sombre en font une bière fuitée mais sèche qui vous emmènera dans le mystère des sous-bois des Hautes Fagnes.,"crudité, légume, poisson, plat mijoté, gibier, fast-food, fromage frais, fromage à pâte molle, fruit",peak-myrtille.webp,peak-myrtille
Brasserie Lindemans,Pêcheresse,Fruitée,Lambic,"2,50%",12,Belgique,"Vous vous en doutez, la Pecheresse est une bière lambic enrichi de jus de pêche. Cette bière fruitée n’est pas un péché. Au contraire, elle se boit agréablement avant ou après la messe. Et aussi pendant, sur une terrasse ensoleillée. Personnellement, je la déguste entre copines. Et ce que nous nous racontons alors ne vous regarde pas.","crudité, légume, poisson, plat mijoté, gibier, fast-food, fromage frais, fromage à pâte molle, fruit",pecheresse.webp,pecheresse
NovaBirra,Big Mama,Noire,Belgian Cacao Stout,"8,00%",42,Belgique,Big Mama est brassée à partir de 5 sortes de malt d’orge et une partie de malt de seigle en combinaison avec des fleurs de houblon Summit et Willamette. Elle est ensuite infusée à froid avec des houblons américains et du grué de cacao originaire de Madagascar. BIG MAMA se bonifiera au cours de la première année de garde en développant des arômes délicats de chocolat balancés par une amertume modérée. Nous recommandons de la déguster à température de cave.,"crustacé, volaille, agneau, gibier, plat mijoté, fromage persillé, fruit rouge, noix de coco, amande, spéculoos, tiramisu",big-mama.webp,big-mama
Vivat,Biscuit Du Cambrésis,Noire,Porter,"6,50%",35,France,"Voici une Porter douce et légère ! Au nez, on démarre la dégustation sur des notes crémeuses et chocolatées. Le caramel et les fruits confits s’invitent également à ce rendez-vous gourmand. En bouche, le palais est très doux avec des saveurs de chocolat au lait, de caramel et de malt toasté. Le caramel et le malt restent présents jusqu’en fin de dégustation.","crustacé, volaille, agneau, gibier, plat mijoté, fromage persillé, fruit rouge, noix de coco, amande, spéculoos, tiramisu",biscuit-cambresis.webp,biscuit-cambresis
Brussels Beer Project,Dark Sister,Noire,Belgian Black IPA,"6,66%",45,Belgique,"Comme beaucoup d'autres bières, l'idée derrière cette bière a commencé par une blague. À l'hiver 2013, nous cherchions à faire une bière de Noël sans les herbes classiques et la forte teneur en alcool.

Nous avons créé la ""soeur maléfique"" de la Delta avec une variété de malts torréfiés et grillés pour assombrir son âme. La réaction de la communauté a été claire : nous ne pouvions plus nous arrêter de fabriquer cette bière. La Vox Populi a choisi et la bière a ressuscité des morts plusieurs fois !","crustacé, volaille, agneau, gibier, plat mijoté, fromage persillé, fruit rouge, noix de coco, amande, spéculoos, tiramisu",dark-sister.webp,dark-sister
Ribella,Inferna,Noire,Stout,"7,00%",30,France,"Un Stout fumé absolument incroyable : Ribella a réuni dans ce flacon du piment de Cayenne, du gingembre du Sri Lanka et de l'Erba Tabaccu (un tabac Corse cultivé, séché puis fermenté sur l'Île de Beauté). Vraiment ronde en bouche, cette merveille de bière torréfiée et fumée réinvente les frontières des Stouts. Bonne nouvelle : tous ses ingrédients sont issus de l'agriculture biologique !","crustacé, volaille, agneau, gibier, plat mijoté, fromage persillé, fruit rouge, noix de coco, amande, spéculoos, tiramisu",inferna.webp,inferna
Peak Beer,Peak Winter,Noire,Winter Ale,"9,00%",22,Belgique,"L’hiver arrive et avec lui la nouvelle Peak Winter, plus foncée, plus forte, plus robuste ! Avec sa douceur et ses 9% d’alcool, elle va égayer et réchauffer vos soirées au coin du feu. Elle sera vendue en stock limité pendant la période hivernale.","crustacé, volaille, agneau, gibier, plat mijoté, fromage persillé, fruit rouge, noix de coco, amande, spéculoos, tiramisu",peak-winter.webp,peak-winter
Brasserie Saint-Feuillien,Saint-Feuillien Quadruple,Noire,Triple,"11,00%",20,Belgique,La St-Feuillien Quadruple est une bière brune très foncée et très dense. Elle est sensiblement alcoolique. Elle se distingue par un arôme complexe et finement caramélisé avec des nuances de vin de Madère et de fruits confits ainsi qu’une touche intense d’esters de fermentation (arôme fruité type banane). Une légère odeur houblonnée (style anglais) complète l’ensemble. La bouche est longue et puissante avec un corps puissant bâti sur la densité et l’extrait apparent généreux. L’amertume est bien présente mais douce et se marie harmonieusement avec la structure maltée. La sélection de malts spéciaux relève le côté chocolaté mêlé à des nuances de noix de coco. La saturation est moyenne.,"crustacé, volaille, agneau, gibier, plat mijoté, fromage persillé, fruit rouge, noix de coco, amande, spéculoos, tiramisu",st-feuillien-quadruple.webp,st-feuillien-quadruple
Lancelot,Telenn Du,Noire,Lager,"4,50%",20,France,"Nez original porté sur les arômes de blé noir : on sent le sarrasin immédiatement, la cendre, le café grillée. La bouche est, bien que riche en parfums, d’une densité délicate. Elle s’exprime sur le grillé légèrement amer comme le cacao, des touches de malt, un peu de noix. Elle est incroyablement fluide et digeste, on l’imagine complètement avec une galette typiquement bretonne !","crustacé, volaille, agneau, gibier, plat mijoté, fromage persillé, fruit rouge, noix de coco, amande, spéculoos, tiramisu",telenn-du.webp,telenn-du
